node_id,role,tx_count,rx_count,hello_tx_count,dropped_count,degree
0,leaf,148,188,16,33,2
1,leaf,38,102,20,0,3
2,leaf,41,224,21,0,6
3,leaf,39,218,20,0,5
4,leaf,130,233,7,0,0
5,leaf,39,79,20,0,2
6,leaf,73,276,21,1,5
7,leaf,34,68,20,0,2
8,leaf,35,119,20,0,3
9,leaf,136,218,8,0,0
10,backbone,36,117,20,0,3
11,leaf,118,263,12,1,0
12,leaf,39,40,21,0,1
13,backbone,40,78,20,0,2
14,backbone,47,149,21,6,4
15,leaf,81,79,20,59,1
16,backbone,96,318,12,0,0
17,leaf,55,104,20,15,3
18,backbone,40,120,20,0,3
19,leaf,27,38,21,0,1
20,backbone,40,78,21,0,2
21,backbone,39,80,20,0,2
22,leaf,38,82,21,0,2
23,backbone,127,239,15,0,5
24,leaf,136,180,21,32,1
25,backbone,40,160,20,0,4
26,backbone,100,251,20,0,5
27,leaf,38,226,21,0,6
28,backbone,40,68,20,0,2
29,leaf,36,117,20,0,3
30,leaf,21,40,21,0,1
31,backbone,40,114,21,0,3
32,leaf,35,38,21,0,1
33,backbone,41,78,21,0,2
34,leaf,37,227,20,0,6
35,leaf,27,34,21,0,1
36,backbone,56,114,21,15,3
37,backbone,41,119,21,0,3
38,leaf,40,217,21,0,5
39,backbone,109,253,20,27,3
40,leaf,31,115,19,0,3
41,leaf,104,296,18,0,5
42,leaf,39,152,20,0,4
43,backbone,39,330,20,0,8
44,leaf,41,72,21,0,2
45,leaf,39,74,21,0,2
46,backbone,40,79,20,0,2
47,leaf,32,39,20,0,1
48,backbone,86,197,21,0,3
49,leaf,83,251,21,0,4
